STOP_ID,BENCHES,SHELTERS,BIKERACKS,TRASHCANS,STOP_NAME,STOP_ABBR,STREET_NMB,ON_STREET,AT_STREET,CITY,ZIP,BAY,STOP_TYPE,PLACEMENT,CORNER,STATUS,LATITUDE,LONGITUDE,SOURCE,SOURCEDATE
1092,2,1,0,1,4600 12TH/SPRINGDALE,382WB,004600,12Th,Springdale,Austin,78721,,Bus Stop,Nearside,Northeast,,30.278941180000000,-97.686681530000000,Capital Metro,2022-08-16
1093,1,0,0,1,12TH/COMETA,S1327,004100,12Th,Cometa,Austin,78721,,Bus Stop,Nearside,Northeast,,30.278638820000000,-97.689538470000000,Capital Metro,2022-08-16
1094,1,0,0,1,3522 12TH/E M FRANKLIN,S1330,003522,12Th,E M Franklin,Austin,78721,,Bus Stop,Nearside,Northeast,,30.277863940000000,-97.694461360000000,Capital Metro,2022-08-16
1096,1,0,0,1,3250 12TH/AIRPORT,76WB,003250,12Th,Airport,Austin,78721,,Bus Stop,Nearside,Northeast,,30.276977550000000,-97.700177740000000,Capital Metro,2022-08-16
1097,1,0,0,1,3100 12TH/MCKINLEY,S1335,003100,12Th,Mckinley,Austin,78702,,Bus Stop,Nearside,Northeast,,30.276653890000000,-97.702257590000000,Capital Metro,2022-08-16
1098,0,0,0,1,12TH/HARVEY,S1338,002900,12Th,Harvey,Austin,78702,,Bus Stop,Nearside,Northeast,,30.276345590000000,-97.704239730000000,Capital Metro,2022-08-16
1099,1,0,0,1,2900 12TH/ALEXANDER,S1340,002900,12Th,Alexander,Austin,78702,,Bus Stop,Nearside,Northeast,,30.275722620000000,-97.708093500000000,Capital Metro,2022-08-16
1100,0,0,0,0,2730 12TH/NEW YORK,S2141,002730,12Th,New York,Austin,78702,,Bus Stop,Mid-Block,Northeast,,30.275350930000000,-97.710463630000000,Capital Metro,2022-08-16
1101,1,1,0,1,12TH/CEDAR,S1345,002500,12Th,Cedar,Austin,78702,,Bus Stop,Mid-Block,Northwest,,30.274879280000000,-97.713399430000000,Capital Metro,2022-08-16
1102,1,0,0,1,2204 12TH/CHESTNUT,S1347,002204,12Th,Chestnut,Austin,78702,,Bus Stop,Mid-Block,Northwest,,30.274389780000000,-97.716485580000000,Capital Metro,2022-08-16
1103,1,0,0,1,1914 12TH/CHICON,S1348,002000,12Th,Chicon,Austin,78702,None,Bus Stop,Mid-Block,Northeast,,30.273962740000000,-97.719141930000000,Capital Metro,2022-08-16
1105,1,0,0,1,1700 12TH/LEONA,S2142,001700,12Th,Leona,Austin,78702,,Bus Stop,Nearside,Northeast,,30.273520670000000,-97.721869540000000,Capital Metro,2022-08-16
1106,1,0,0,0,1400 12TH/ANGELINA,S1354,001400,12Th,Angelina,Austin,78702,,Bus Stop,Nearside,Northeast,,30.273059200000000,-97.724900420000000,Capital Metro,2022-08-16
1107,1,0,0,1,1220 12TH/SAN BERNARD,S1357,001220,12Th,San Bernard,Austin,78702,,Bus Stop,Farside,Northwest,,30.272726930000000,-97.726844250000000,Capital Metro,2022-08-16
1109,1,0,0,1,12TH/IH-35,S2143,000900,12Th,Branch,Austin,78702,,Bus Stop,Nearside,Northeast,,30.272087860000000,-97.730842110000000,Capital Metro,2022-08-16
1113,0,0,0,0,12TH/BRANCH,S2134,000800,12Th,Branch,Austin,78702,,Bus Stop,Nearside,Southwest,,30.271885860000000,-97.731305800000000,Capital Metro,2022-08-16
1114,1,0,0,1,12TH/NAVASOTA,S1358,001100,12Th,Navasota,Austin,78702,,Bus Stop,Nearside,Southwest,,30.272433500000000,-97.727844040000000,Capital Metro,2022-08-16
1212,2,2,0,2,5406 PLEASANT VALLEY/VILLAGE,S160,005406,Pleasant Valley,Village,Austin,78744,,Bus Stop,Nearside,Northwest,,30.193288640000000,-97.744742900000000,Capital Metro,2022-08-16
1213,1,1,0,1,5802 PLEASANT VALLEY/LEATHERLE,S2189,005802,Pleasant Valley,Leatherleaf,Austin,78744,,Bus Stop,Farside,Southwest,,30.188889350000000,-97.745544640000000,Capital Metro,2022-08-16
1214,0,0,0,0,6100 PLEASANT VALLEY/DOVE SPRI,S2190,006100,Pleasant Valley,Dove Springs,Austin,78744,,Bus Stop,Mid-Block,Southwest,,30.185358380000000,-97.745647750000000,Capital Metro,2022-08-16
1215,0,0,0,1,6406 PLEASANT VALLEY/CREEK BEN,S2191,006406,Pleasant Valley,Creek Bend,Austin,78744,,Bus Stop,Farside,Southwest,,30.182114140000000,-97.746096760000000,Capital Metro,2022-08-16
1219,0,0,0,1,6107 PLEASANT VALLEY/TURNSTONE,S2198,006107,Pleasant Valley,Turnstone,Austin,78744,,Bus Stop,Nearside,Southeast,,30.185198140000000,-97.745196000000000,Capital Metro,2022-08-16
1220,1,1,0,1,5803 PLEASANT VALLEY/VILLAGE S,S2199,005803,Pleasant Valley,Village Square,Austin,78744,,Bus Stop,Farside,Northeast,,30.188891190000000,-97.745290460000000,Capital Metro,2022-08-16
1221,0,1,0,0,5505 PLEASANT VALLEY/PALO BLAN,S2200,005505,Pleasant Valley,Palo Blanco,Austin,78744,None,Bus Stop,Mid-Block,Northeast,,30.192229240000000,-97.744495750000000,Capital Metro,2022-08-16
1223,2,1,0,1,2522 STASSNEY/CHAPARRAL,S833,002522,Stassney,Chaparral,Austin,78744,,Bus Stop,Nearside,Northeast,,30.193919330000000,-97.747016000000000,Capital Metro,2022-08-16
1224,1,1,0,1,2408 STASSNEY/PALO BLANCO,S827,002408,Stassney,Palo Blanco,Austin,78744,,Bus Stop,Mid-Block,Northwest,,30.193713660000000,-97.750685130000000,Capital Metro,2022-08-16
1228,0,0,0,0,2008 TERI/PEPPER,S857,002008,Teri,Pepper,Austin,78744,,Bus Stop,Farside,Northwest,,30.202327850000000,-97.752516180000000,Capital Metro,2022-08-16
1229,1,0,0,1,4801 FREIDRICH/TERI,S877,004801,Freidrich,Teri,Austin,78744,,Bus Stop,Farside,Northeast,,30.204466070000000,-97.753036430000000,Capital Metro,2022-08-16
1230,1,0,0,1,4601 FREIDRICH/CITY YARD,S2203,004601,Freidrich,City Yard,Austin,78744,,Bus Stop,Mid-Block,Northeast,,30.208173970000000,-97.750683920000000,Capital Metro,2022-08-16
1231,1,1,0,1,4217 FREIDRICH/ST ELMO,S855,004217,Freidrich,st Elmo,Austin,78744,,Bus Stop,Mid-Block,Northeast,,30.211334640000000,-97.748704810000000,Capital Metro,2022-08-16
